id,geopoint,Daylight_savings_time_flag,Timezone,Longitude,Latitude,State,City,Zip
2800,"31.714526,-84.16931",1,-5,-84.16931,31.714526,GA,Leesburg,31763
2815,"33.61541,-84.49033",1,-5,-84.49033,33.61541,GA,Atlanta,30349
2823,"33.946364,-83.37743",1,-5,-83.37743,33.946364,GA,Athens,30609
2831,"33.571176,-85.09612",1,-5,-85.09612,33.571176,GA,Carrollton,30118
2838,"33.87578,-84.50382",1,-5,-84.50382,33.87578,GA,Smyrna,30080
2840,"34.027533,-84.51475",1,-5,-84.51475,34.027533,GA,Marietta,30066
2844,"33.701554,-84.73756",1,-5,-84.73756,33.701554,GA,Douglasville,30135
2857,"33.729506,-84.34087",1,-5,-84.34087,33.729506,GA,Atlanta,30316
2864,"33.615409,-84.36704",1,-5,-84.36704,33.615409,GA,Forest Park,30297
2866,"33.527793,-84.69453",1,-5,-84.69453,33.527793,GA,Palmetto,30268
2877,"34.002147,-84.63392",1,-5,-84.63392,34.002147,GA,Kennesaw,30152
2885,"33.795622,-84.19771",1,-5,-84.19771,33.795622,GA,Stone Mountain,30083
2888,"33.776137,-84.64484",1,-5,-84.64484,33.776137,GA,Lithia Springs,30122
2890,"33.91967,-84.07482",1,-5,-84.07482,33.91967,GA,Lawrenceville,30044
2899,"33.981721,-83.88302",1,-5,-83.88302,33.981721,GA,Dacula,30019
2902,"33.888102,-84.29321",1,-5,-84.29321,33.888102,GA,Atlanta,30341
2906,"33.844371,-84.47405",1,-5,-84.47405,33.844371,GA,Atlanta,30396
2910,"33.817738,-84.56087",1,-5,-84.56087,33.817738,GA,Mableton,30126
2911,"32.88899,-83.72204",1,-5,-83.72204,32.88899,GA,Macon,31210
2919,"33.752856,-84.39013",1,-5,-84.39013,33.752856,GA,Atlanta,30303
2922,"34.097915,-83.77864",1,-5,-83.77864,34.097915,GA,Hoschton,30548
2931,"33.99605,-84.47464",1,-5,-84.47464,33.99605,GA,Marietta,30062
2934,"33.761223,-84.39599",1,-5,-84.39599,33.761223,GA,Atlanta,30313
2935,"33.771705,-84.29407",1,-5,-84.29407,33.771705,GA,Decatur,30030
2937,"33.455031,-84.17215",1,-5,-84.17215,33.455031,GA,Mcdonough,30253
